,Município,ano,ginibr
287,150810 Tucuruí,1991,"0,5645"
288,150812 Ulianópolis,1991,
289,150815 Uruará,1991,"0,538"
290,150820 Vigia,1991,"0,5145"
291,150830 Viseu,1991,"0,4831"
292,150835 Vitória do Xingu,1991,
293,150840 Xinguara,1991,"0,6366"
294,160010 Amapá,1991,"0,6126"
295,160020 Calçoene,1991,"0,6797"
296,160021 Cutias,1991,
297,160023 Ferreira Gomes,1991,"0,5613"
298,160025 Itaubal,1991,
299,160027 Laranjal do Jari,1991,"0,5595"
300,160030 Macapá,1991,"0,5645"
301,160040 Mazagão,1991,"0,5135"
302,160050 Oiapoque,1991,"0,5664"
303,160015 Pedra Branca do Amapari,1991,
304,160053 Porto Grande,1991,
305,160055 Pracuúba,1991,
306,160060 Santana,1991,"0,5858"
307,160005 Serra do Navio,1991,
308,160070 Tartarugalzinho,1991,"0,6474"
309,160080 Vitória do Jari,1991,
310,170025 Abreulândia,1991,
311,170030 Aguiarnópolis,1991,
312,170035 Aliança do Tocantins,1991,"0,5007"
313,170040 Almas,1991,"0,613"
314,170070 Alvorada,1991,"0,6415"
315,170100 Ananás,1991,"0,5282"
316,170105 Angico,1991,
317,170110 Aparecida do Rio Negro,1991,"0,5462"
318,170130 Aragominas,1991,
319,170190 Araguacema,1991,"0,5486"
320,170200 Araguaçu,1991,"0,545"
321,170210 Araguaína,1991,"0,63"
322,170215 Araguanã,1991,
323,170220 Araguatins,1991,"0,5893"
324,170230 Arapoema,1991,"0,499"
325,170240 Arraias,1991,"0,6351"
326,170255 Augustinópolis,1991,"0,5749"
327,170270 Aurora do Tocantins,1991,"0,5065"
328,170290 Axixá do Tocantins,1991,"0,4788"
329,170300 Babaçulândia,1991,"0,4809"
330,170305 Bandeirantes do Tocantins,1991,
331,170307 Barra do Ouro,1991,
332,170310 Barrolândia,1991,"0,5502"
333,170320 Bernardo Sayão,1991,"0,5684"
334,170330 Bom Jesus do Tocantins,1991,
335,170360 Brasilândia do Tocantins,1991,
336,170370 Brejinho de Nazaré,1991,"0,5454"
337,170380 Buriti do Tocantins,1991,"0,5402"
338,170382 Cachoeirinha,1991,
339,170384 Campos Lindos,1991,
340,170386 Cariri do Tocantins,1991,
341,170388 Carmolândia,1991,
342,170389 Carrasco Bonito,1991,
343,170390 Caseara,1991,"0,5719"
344,170410 Centenário,1991,
345,170510 Chapada da Natividade,1991,
346,170460 Chapada de Areia,1991,
347,170550 Colinas do Tocantins,1991,"0,5894"
348,171670 Colméia,1991,"0,5611"
349,170555 Combinado,1991,"0,5684"
350,170560 Conceição do Tocantins,1991,"0,5127"
351,170600 Couto Magalhães,1991,"0,5332"
352,170610 Cristalândia,1991,"0,6162"
353,170625 Crixás do Tocantins,1991,
354,170650 Darcinópolis,1991,
355,170700 Dianópolis,1991,"0,551"
356,170710 Divinópolis do Tocantins,1991,"0,5421"
357,170720 Dois Irmãos do Tocantins,1991,"0,5414"
358,170730 Dueré,1991,"0,4904"
359,170740 Esperantina,1991,
360,170755 Fátima,1991,"0,5941"
361,170765 Figueirópolis,1991,"0,5387"
362,170770 Filadélfia,1991,"0,5705"
363,170820 Formoso do Araguaia,1991,"0,5518"
364,170825 Fortaleza do Tabocão,1991,
365,170830 Goianorte,1991,"0,6336"
366,170900 Goiatins,1991,"0,5354"
367,170930 Guaraí,1991,"0,5646"
368,170950 Gurupi,1991,"0,6333"
369,170980 Ipueiras,1991,
370,171050 Itacajá,1991,"0,5128"
371,171070 Itaguatins,1991,"0,5475"
372,171090 Itapiratins,1991,
373,171110 Itaporã do Tocantins,1991,"0,4123"
374,171150 Jaú do Tocantins,1991,
375,171180 Juarina,1991,
376,171190 Lagoa da Confusão,1991,
377,171195 Lagoa do Tocantins,1991,
378,171200 Lajeado,1991,
379,171215 Lavandeira,1991,
380,171240 Lizarda,1991,"0,5099"
381,171245 Luzinópolis,1991,
382,171250 Marianópolis do Tocantins,1991,"0,4978"
383,171270 Mateiros,1991,
384,171280 Maurilândia do Tocantins,1991,
385,171320 Miracema do Tocantins,1991,"0,7097"
386,171330 Miranorte,1991,"0,6595"
387,171360 Monte do Carmo,1991,"0,5387"
388,171370 Monte Santo do Tocantins,1991,
389,171395 Muricilândia,1991,
390,171420 Natividade,1991,"0,5747"
391,171430 Nazaré,1991,"0,533"
392,171488 Nova Olinda,1991,"0,5493"
393,171500 Nova Rosalândia,1991,"0,472"
394,171510 Novo Acordo,1991,"0,5893"
395,171515 Novo Alegre,1991,
396,171525 Novo Jardim,1991,
397,171550 Oliveira de Fátima,1991,
398,172100 Palmas,1991,"0,6575"
399,171570 Palmeirante,1991,
400,171380 Palmeiras do Tocantins,1991,
401,171575 Palmeirópolis,1991,"0,6066"
402,171610 Paraíso do Tocantins,1991,"0,6229"
403,171620 Paranã,1991,"0,5511"
404,171630 Pau D'Arco,1991,
405,171650 Pedro Afonso,1991,"0,5973"
406,171660 Peixe,1991,"0,5389"
407,171665 Pequizeiro,1991,"0,4577"
408,171700 Pindorama do Tocantins,1991,"0,6269"
409,171720 Piraquê,1991,
410,171750 Pium,1991,"0,5527"
411,171780 Ponte Alta do Bom Jesus,1991,"0,5422"
412,171790 Ponte Alta do Tocantins,1991,"0,6272"
413,171800 Porto Alegre do Tocantins,1991,"0,5076"
414,171820 Porto Nacional,1991,"0,5839"
415,171830 Praia Norte,1991,"0,5438"
416,171840 Presidente Kennedy,1991,"0,5363"
417,171845 Pugmil,1991,
418,171850 Recursolândia,1991,
419,171855 Riachinho,1991,
420,171865 Rio da Conceição,1991,
421,171870 Rio dos Bois,1991,
422,171875 Rio Sono,1991,"0,4525"
423,171880 Sampaio,1991,"0,3984"
424,171884 Sandolândia,1991,
425,171886 Santa Fé do Araguaia,1991,
426,171888 Santa Maria do Tocantins,1991,
427,171889 Santa Rita do Tocantins,1991,
428,171890 Santa Rosa do Tocantins,1991,"0,4826"
429,171900 Santa Tereza do Tocantins,1991,"0,5599"
430,172000 Santa Terezinha do Tocantins,1991,
431,172010 São Bento do Tocantins,1991,
432,172015 São Félix do Tocantins,1991,
433,172020 São Miguel do Tocantins,1991,
434,172025 São Salvador do Tocantins,1991,
435,172030 São Sebastião do Tocantins,1991,"0,5281"
436,172049 São Valério,1991,"0,5029"
437,172065 Silvanópolis,1991,"0,6152"
438,172080 Sítio Novo do Tocantins,1991,"0,471"
439,172085 Sucupira,1991,
440,172090 Taguatinga,1991,"0,608"
441,172093 Taipas do Tocantins,1991,
442,172097 Talismã,1991,
443,172110 Tocantínia,1991,"0,6396"
444,172120 Tocantinópolis,1991,"0,5833"
445,172125 Tupirama,1991,
446,172130 Tupiratins,1991,
447,172208 Wanderlândia,1991,"0,4655"
448,172210 Xambioá,1991,"0,5235"
449,210005 Açailândia,1991,"0,58"
450,210010 Afonso Cunha,1991,"0,3927"
451,210015 Água Doce do Maranhão,1991,
452,210020 Alcântara,1991,"0,4747"
453,210030 Aldeias Altas,1991,"0,4492"
454,210040 Altamira do Maranhão,1991,"0,4875"
455,210043 Alto Alegre do Maranhão,1991,
456,210047 Alto Alegre do Pindaré,1991,
457,210050 Alto Parnaíba,1991,"0,6065"
458,210055 Amapá do Maranhão,1991,
459,210060 Amarante do Maranhão,1991,"0,624"
460,210070 Anajatuba,1991,"0,5783"
461,210080 Anapurus,1991,"0,4521"
462,210083 Apicum-Açu,1991,
463,210087 Araguanã,1991,
464,210090 Araioses,1991,"0,4392"
465,210095 Arame,1991,"0,5323"
466,210100 Arari,1991,"0,615"
467,210110 Axixá,1991,"0,4392"
468,210120 Bacabal,1991,"0,5224"
469,210125 Bacabeira,1991,
470,210130 Bacuri,1991,"0,4829"
471,210135 Bacurituba,1991,
